id,todoItem,Type,TxId,Price,State,Importance
1,احذيه شتوي,,,600.0,Pending,5
2,كوتشيات,,,400.0,Pending,5
3,احذيه صيفي,,,500.0,Pending,2
4,شنط,,,400.0,Pending,5
5,ميكب,,,1000.0,Pending,3
6,تنكري,,,700.0,Pending,5
7,بناطيل جينز,,,500.0,Pending,5
8,هدوم شتوي,,,600.0,Pending,5
9,هدوم صيفي,,,1000.0,Pending,3
10,طرح,,,300.0,Pending,3
11,اسدالات ,,,250.0,Pending,3
12,شرابات وشباشب,,,550.0,Pending,3
13,فستان الفرح والميكب,,,3000.0,Pending,3
14,علبه اكسسوريز واكسسوريز,,,500.0,Pending,3
15,الشعر,,,2000.0,Pending,4
16,حمام مغربي وخلافه,,,1000.0,Pending,4
17,نظافه شخصيه,,,500.0,Pending,3
18,عبدالرحمن,,,1000.0,Pending,3
19,عيد الأم,,,300.0,Pending,5
20,جيم,,,500.0,Pending,5
21,براهات ,,,300.0,Pending,3
